Pages Crawled,Time Since last,Total Time
50,25.142125844955444,25.142125844955444
100,50.40348196029663,75.54560780525208
150,27.991429567337036,103.53703737258911
200,28.64968204498291,132.18671941757202
250,26.633054971694946,158.81977438926697
300,24.553154706954956,183.37292909622192
350,28.125964879989624,211.49889397621155
400,27.145455598831177,238.64434957504272
450,21.678419589996338,260.32276916503906
500,40.612478494644165,300.9352476596832
550,34.73549699783325,335.6707446575165
600,27.62406635284424,363.2948110103607
650,35.42511248588562,398.71992349624634
700,26.063013315200806,424.78293681144714
750,31.85633659362793,456.6392734050751
800,35.04688358306885,491.6861569881439
850,26.516420364379883,518.2025773525238
900,32.14218854904175,550.3447659015656
950,25.013941526412964,575.3587074279785
1000,24.128416538238525,599.487123966217
1050,32.09618854522705,631.5833125114441
1100,25.370718240737915,656.954030752182
1101,0.429232120513916,657.3832628726959
